Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Газпромбанк;354;3;2019-01-01;Минфину России;11101;0;0;0
Газпромбанк;354;3;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;693698;0;693698
Газпромбанк;354;3;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Газпромбанк;354;3;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Газпромбанк;354;3;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Газпромбанк;354;3;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;2903672;200262;3103934
Газпромбанк;354;3;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Газпромбанк;354;3;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Газпромбанк;354;3;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;112065;0;112065
Газпромбанк;354;3;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Газпромбанк;354;3;2019-01-01;негосударственным финансовым организациям;11111;7901386;5983831;13885217
Газпромбанк;354;3;2019-01-01;негосударственным коммерческим организациям;11112;197007509;30048149;227055658
Газпромбанк;354;3;2019-01-01;негосударственным некоммерческим организациям;11113;46105;0;46105
Газпромбанк;354;3;2019-01-01;индивидуальным предпринимателям;11114;0;0;0
Газпромбанк;354;3;2019-01-01;гражданам (физическим лицам);11115;47083886;286069;47369955
Газпромбанк;354;3;2019-01-01;юридическим лицам - нерезидентам;11116;2959780;17543655;20503435
Газпромбанк;354;3;2019-01-01;физическим лицам - нерезидентам;11117;2896;363;3259
Газпромбанк;354;3;2019-01-01;кредитным организациям;11118;1237583;691389;1928972
Газпромбанк;354;3;2019-01-01;банкам-нерезидентам;11119;375520;1042826;1418346
Газпромбанк;354;3;2019-01-01;иностранным государствам;11120;0;0;0
Газпромбанк;354;3;2019-01-01;в Минфине России;11201;0;0;0
Газпромбанк;354;3;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Газпромбанк;354;3;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Газпромбанк;354;3;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Газпромбанк;354;3;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Газпромбанк;354;3;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Газпромбанк;354;3;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Газпромбанк;354;3;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Газпромбанк;354;3;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Газпромбанк;354;3;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Газпромбанк;354;3;2019-01-01;в негосударственных финансовых организациях;11211;107406;5376;112782
Газпромбанк;354;3;2019-01-01;в негосударственных коммерческих организациях;11212;727585;0;727585
Газпромбанк;354;3;2019-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Газпромбанк;354;3;2019-01-01;в юридических лицах - нерезидентах;11214;25352;376512;401864
Газпромбанк;354;3;2019-01-01;в кредитных организациях;11215;4076774;301133;4377907
Газпромбанк;354;3;2019-01-01;в банках-нерезидентах;11216;995104;436468;1431572
Газпромбанк;354;3;2019-01-01;в Банке России;11217;0;0;0
Газпромбанк;354;3;2019-01-01;индивидуальным предпринимателям;11218;0;0;0
Газпромбанк;354;3;2019-01-01;гражданам (физическим лицам);11219;0;0;0
