Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Банк «Открытие»;2209;8;2019-01-01;Минфину России;11101;0;0;0
Банк «Открытие»;2209;8;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;13127;0;13127
Банк «Открытие»;2209;8;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Банк «Открытие»;2209;8;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Банк «Открытие»;2209;8;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Банк «Открытие»;2209;8;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;18471;0;18471
Банк «Открытие»;2209;8;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Банк «Открытие»;2209;8;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Банк «Открытие»;2209;8;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;51407;0;51407
Банк «Открытие»;2209;8;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Банк «Открытие»;2209;8;2019-01-01;негосударственным финансовым организациям;11111;9062975;0;9062975
Банк «Открытие»;2209;8;2019-01-01;негосударственным коммерческим организациям;11112;23398733;4015652;27414385
Банк «Открытие»;2209;8;2019-01-01;негосударственным некоммерческим организациям;11113;85657;0;85657
Банк «Открытие»;2209;8;2019-01-01;индивидуальным предпринимателям;11114;896815;0;896815
Банк «Открытие»;2209;8;2019-01-01;гражданам (физическим лицам);11115;13700869;89890;13790759
Банк «Открытие»;2209;8;2019-01-01;юридическим лицам - нерезидентам;11116;2724978;904011;3628989
Банк «Открытие»;2209;8;2019-01-01;физическим лицам - нерезидентам;11117;3954;355;4309
Банк «Открытие»;2209;8;2019-01-01;кредитным организациям;11118;7777513;4321;7781834
Банк «Открытие»;2209;8;2019-01-01;банкам-нерезидентам;11119;3110;282784;285894
Банк «Открытие»;2209;8;2019-01-01;иностранным государствам;11120;0;0;0
Банк «Открытие»;2209;8;2019-01-01;в Минфине России;11201;0;0;0
Банк «Открытие»;2209;8;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Банк «Открытие»;2209;8;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Банк «Открытие»;2209;8;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Банк «Открытие»;2209;8;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
