Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Сбербанк;1481;1;2019-01-01;Минфину России;11101;0;0;0
Сбербанк;1481;1;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;49310120;0;49310120
Сбербанк;1481;1;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Сбербанк;1481;1;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Сбербанк;1481;1;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Сбербанк;1481;1;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;12683234;954744;13637978
Сбербанк;1481;1;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;51079;0;51079
Сбербанк;1481;1;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Сбербанк;1481;1;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;2827775;276;2828051
Сбербанк;1481;1;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;31352;0;31352
Сбербанк;1481;1;2019-01-01;негосударственным финансовым организациям;11111;23470332;5123013;28593345
Сбербанк;1481;1;2019-01-01;негосударственным коммерческим организациям;11112;612535019;120892900;733427919
Сбербанк;1481;1;2019-01-01;негосударственным некоммерческим организациям;11113;204740;0;204740
Сбербанк;1481;1;2019-01-01;индивидуальным предпринимателям;11114;25095955;14888;25110843
Сбербанк;1481;1;2019-01-01;гражданам (физическим лицам);11115;735938765;163535;736102300
Сбербанк;1481;1;2019-01-01;юридическим лицам - нерезидентам;11116;23478713;89195393;112674106
Сбербанк;1481;1;2019-01-01;физическим лицам - нерезидентам;11117;5238;1138;6376
Сбербанк;1481;1;2019-01-01;кредитным организациям;11118;13742916;91076;13833992
Сбербанк;1481;1;2019-01-01;банкам-нерезидентам;11119;2287850;9600585;11888435
Сбербанк;1481;1;2019-01-01;иностранным государствам;11120;0;0;0
Сбербанк;1481;1;2019-01-01;в Минфине России;11201;0;0;0
Сбербанк;1481;1;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Сбербанк;1481;1;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Сбербанк;1481;1;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Сбербанк;1481;1;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Сбербанк;1481;1;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Сбербанк;1481;1;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Сбербанк;1481;1;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Сбербанк;1481;1;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Сбербанк;1481;1;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Сбербанк;1481;1;2019-01-01;в негосударственных финансовых организациях;11211;226124;43083;269207
Сбербанк;1481;1;2019-01-01;в негосударственных коммерческих организациях;11212;377795;4303450;4681245
Сбербанк;1481;1;2019-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Сбербанк;1481;1;2019-01-01;в юридических лицах - нерезидентах;11214;217867;548229;766096
Сбербанк;1481;1;2019-01-01;в кредитных организациях;11215;64981896;2386362;67368258
Сбербанк;1481;1;2019-01-01;в банках-нерезидентах;11216;148788;2900805;3049593
Сбербанк;1481;1;2019-01-01;в Банке России;11217;0;0;0
Сбербанк;1481;1;2019-01-01;индивидуальным предпринимателям;11218;17699;0;17699
Сбербанк;1481;1;2019-01-01;гражданам (физическим лицам);11219;52358;0;52358
Сбербанк;1481;1;2019-01-01;физическим лицам - нерезидентам;11220;2516;0;2516
Сбербанк;1481;1;2019-01-01;в Банке России;11301;0;0;0
Сбербанк;1481;1;2019-01-01;в кредитных организациях;11302;3389;10882;14271
