Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Совкомбанк;963;9;2016-01-01;От операций финансовой аренды (лизинга);12405;0;0;0
Совкомбанк;963;9;2016-01-01;От оказания консультационных и информационных услуг;12406;36;0;36
Совкомбанк;963;9;2016-01-01;от реализации (уступки) прав требования по заключенным кредитной организацией договорам на предоставление (размещение) денежных средств;12407;0;0;0
Совкомбанк;963;9;2016-01-01;Российской Федерации;13101;1442151;;1442151
Совкомбанк;963;9;2016-01-01;Субъектов Российской Федерации и органов местного самоуправления;13102;1355725;;1355725
Совкомбанк;963;9;2016-01-01;Банка России;13103;0;;0
Совкомбанк;963;9;2016-01-01;Кредитных организаций;13104;603500;;603500
Совкомбанк;963;9;2016-01-01;Прочих ценных бумаг;13105;978006;;978006
Совкомбанк;963;9;2016-01-01;Иностранных государств;13106;0;;0
Совкомбанк;963;9;2016-01-01;Банков-нерезидентов;13107;0;;0
Совкомбанк;963;9;2016-01-01;Прочих ценных бумаг нерезидентов;13108;12020574;;12020574
Совкомбанк;963;9;2016-01-01;Доходы от операций с выпущенными ценными  бумагами;13201;1;0;1
Совкомбанк;963;9;2016-01-01;Кредитных организаций;14101;28854;0;28854
Совкомбанк;963;9;2016-01-01;Других организаций;14102;53319;0;53319
Совкомбанк;963;9;2016-01-01;Банков-нерезидентов;14103;0;0;0
Совкомбанк;963;9;2016-01-01;Других организаций-нерезидентов;14104;23561;0;23561
Совкомбанк;963;9;2016-01-01;Кредитных организаций;14201;0;0;0
Совкомбанк;963;9;2016-01-01;Других организаций;14202;0;0;0
Совкомбанк;963;9;2016-01-01;Банков-нерезидентов;14203;0;0;0
Совкомбанк;963;9;2016-01-01;Других организаций-нерезидентов;14204;0;0;0
Совкомбанк;963;9;2016-01-01;Кредитных организациях;14301;0;0;0
Совкомбанк;963;9;2016-01-01;Банках-нерезидентах;14302;0;0;0
Совкомбанк;963;9;2016-01-01;Других организациях;14303;0;0;0
Совкомбанк;963;9;2016-01-01;Других организациях-нерезидентах;14304;0;0;0
Совкомбанк;963;9;2016-01-01;Кредитных организациях;14401;0;0;0
Совкомбанк;963;9;2016-01-01;Банках-нерезидентах;14402;0;0;0
Совкомбанк;963;9;2016-01-01;Других организациях;14403;0;0;0
Совкомбанк;963;9;2016-01-01;Других организациях-нерезидентах;14404;0;0;0
Совкомбанк;963;9;2016-01-01;Ценных бумаг (балансовый счет  №70602, при составлении годовой бухгалтерской (финансовой) отчетности - балансовый счет №70702);15101;0;;0
Совкомбанк;963;9;2016-01-01;Средств в иностранной валюте (балансовый счет №70603, при составлении годовой бухгалтерской (финансовой) отчетности - балансовый счет №70703);15102;356354829;;356354829
Совкомбанк;963;9;2016-01-01;Драгоценных металлов (балансовый счет №70604 при составлении годовой бухгалтерской (финансовой) отчетности - балансовый счет №70704);15103;6844;;6844
Совкомбанк;963;9;2016-01-01;От изменения курса ценной бумаги;15201;0;;0
Совкомбанк;963;9;2016-01-01;От изменения валютного курса;15202;1763;;1763
Совкомбанк;963;9;2016-01-01;От изменения индекса цен;15203;49620;;49620
Совкомбанк;963;9;2016-01-01;От изменения других переменных;15204;0;;0
Совкомбанк;963;9;2016-01-01;Доходы от производных финансовых инструментов;16101;1429781;;1429781
Совкомбанк;963;9;2016-01-01;За проведение операций с валютными ценностями;16201;0;822;822
Совкомбанк;963;9;2016-01-01;От оказания посреднических услуг по брокерским и аналогичным договорам;16202;10770;0;10770
Совкомбанк;963;9;2016-01-01;По другим операциям;16203;194466;7156;201622
Совкомбанк;963;9;2016-01-01;От сдачи имущества в аренду;16301;8593;0;8593
Совкомбанк;963;9;2016-01-01;От выбытия (реализации) имущества;16302;44509;;44509
Совкомбанк;963;9;2016-01-01;От дооценки основных средств после их уценки;16303;0;;0
Совкомбанк;963;9;2016-01-01;От передачи активов в доверительное управление;16304;0;0;0
Совкомбанк;963;9;2016-01-01;От восстановления сумм резервов на возможные потери, кроме резервов - оценочных обязательств некредитного характера;16305;36203135;;36203135
Совкомбанк;963;9;2016-01-01;Прочие операционные доходы;16306;368269;0;368269
Совкомбанк;963;9;2016-01-01;По операциям привлечения и предоставления (размещения) денежных средств;17101;807432;15193;822625
Совкомбанк;963;9;2016-01-01;По другим банковским операциям и сделкам;17102;30031;0;30031
Совкомбанк;963;9;2016-01-01;По прочим (хозяйственным) операциям;17103;1295;0;1295
Совкомбанк;963;9;2016-01-01;По операциям привлечения и предоставления (размещения) денежных средств;17201;0;0;0
Совкомбанк;963;9;2016-01-01;По другим банковским операциям и сделкам;17202;0;0;0
Совкомбанк;963;9;2016-01-01;По прочим (хозяйственным) операциям;17203;1711;0;1711
Совкомбанк;963;9;2016-01-01;От безвозмездно полученного имущества;17301;29;0;29
Совкомбанк;963;9;2016-01-01;Поступления в возмещение причененных убытков, в том числе страховое возмещение от страховщиков;17302;7419;0;7419
Совкомбанк;963;9;2016-01-01;материальных ценностей;17303;8;0;8
Совкомбанк;963;9;2016-01-01;денежной наличности;17304;592;0;592
Совкомбанк;963;9;2016-01-01;От списания обязательств и невостребованной кредиторской задолженности;17305;1549492;1;1549493
Совкомбанк;963;9;2016-01-01;Другие доходы;17306;7479244;1;7479245
Совкомбанк;963;9;2016-01-01;в том числе: от восстановления сумм резервов - оценочных обязательств некредитного характера;17307;15507;;15507
Совкомбанк;963;9;2016-01-01;"Всего по Главе I ""Доходы""(разделы 1-7)";10000;517878614;9716498;527595112
Совкомбанк;963;9;2016-01-01;Банка России;21101;1244889;0;1244889
Совкомбанк;963;9;2016-01-01;Кредитных организаций;21102;140977;1512;142489
Совкомбанк;963;9;2016-01-01;Банков-нерезидентов;21103;0;5748;5748
Совкомбанк;963;9;2016-01-01;Других кредиторов;21104;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых организаций, находящихся в федеральной собственности;21201;0;0;0
Совкомбанк;963;9;2016-01-01;Коммерческих организаций, находящихся в федеральной собственности;21202;1723;1158;2881
Совкомбанк;963;9;2016-01-01;Некоммерческих организаций, находящихся в федеральной собственности;21203;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых организаций, находящихся в государственной (кроме федеральной) собственности;21204;0;0;0
Совкомбанк;963;9;2016-01-01;Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности;21205;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности;21206;0;0;0
Совкомбанк;963;9;2016-01-01;Негосударственных финансовых организаций;21207;9824;2;9826
Совкомбанк;963;9;2016-01-01;Негосударственных коммерческих организаций;21208;158234;12979;171213
Совкомбанк;963;9;2016-01-01;Негосударственных некоммерческих организаций;21209;343;0;343
Совкомбанк;963;9;2016-01-01;Кредитных организаций;21210;639;5811;6450
Совкомбанк;963;9;2016-01-01;Банков-нерезидентов;21211;0;0;0
Совкомбанк;963;9;2016-01-01;Индивидуальных предпринимателей;21212;252;0;252
Совкомбанк;963;9;2016-01-01;Индивидуальных предпринимателей-нерезидентов;21213;0;0;0
Совкомбанк;963;9;2016-01-01;Юридических лиц-нерезидентов;21214;120;0;120
Совкомбанк;963;9;2016-01-01;Федерального казначейства;21301;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых органов субъектов Российской Федерации и органов местного самоуправления;21302;0;0;0
Совкомбанк;963;9;2016-01-01;Государственных внебюджетных фондов Российской Федерации;21303;235030;0;235030
Совкомбанк;963;9;2016-01-01;Внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления;21304;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых организаций, находящихся в федеральной собственности;21305;57342;0;57342
Совкомбанк;963;9;2016-01-01;Коммерческих организаций, находящихся в федеральной собственности;21306;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческих организаций, находящихся в федеральной собственности;21307;56153;0;56153
Совкомбанк;963;9;2016-01-01;Финансовых организаций, находящихся в государственной (кроме федеральной) собственности;21308;0;0;0
Совкомбанк;963;9;2016-01-01;Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности;21309;387;0;387
Совкомбанк;963;9;2016-01-01;Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности;21310;0;0;0
Совкомбанк;963;9;2016-01-01;Негосударственных финансовых организаций;21311;50799;0;50799
Совкомбанк;963;9;2016-01-01;Негосударственных  коммерческих организаций;21312;111153;37117;148270
Совкомбанк;963;9;2016-01-01;Негосударственных некоммерческих организаций;21313;49211;137;49348
Совкомбанк;963;9;2016-01-01;Юридических лиц - нерезидентов;21314;7684;4689;12373
Совкомбанк;963;9;2016-01-01;Кредитных организаций;21315;1358139;0;1358139
Совкомбанк;963;9;2016-01-01;Банков-нерезидентов;21316;0;0;0
Совкомбанк;963;9;2016-01-01;Банка России;21317;0;0;0
Совкомбанк;963;9;2016-01-01;Минфина России;21401;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых органов субъектов Российской Федерации и органов местного самоуправления;21402;0;0;0
Совкомбанк;963;9;2016-01-01;Государственных внебюджетных фондов Российской Федерации;21403;0;0;0
Совкомбанк;963;9;2016-01-01;Внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления;21404;0;0;0
Совкомбанк;963;9;2016-01-01;Финансовых организаций, находящихся в федеральной собственности;21405;0;0;0
Совкомбанк;963;9;2016-01-01;Коммерческих организаций, находящихся в федеральной собственности;21406;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческих организаций, находящихся в федеральной собственности;21407;730492;0;730492
Совкомбанк;963;9;2016-01-01;Финансовых организаций, находящихся в государственной (кроме федеральной) собственности;21408;0;8;8
Совкомбанк;963;9;2016-01-01;Коммерческих организаций, находящихся в государственной (кроме федеральной) собственности;21409;0;0;0
Совкомбанк;963;9;2016-01-01;Некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности;21410;0;0;0
Совкомбанк;963;9;2016-01-01;Негосударственных финансовых организаций;21411;6883;0;6883
Совкомбанк;963;9;2016-01-01;Негосударственных коммерческих организаций;21412;0;33;33
Совкомбанк;963;9;2016-01-01;Негосударственных некоммерческих организаций;21413;0;0;0
Совкомбанк;963;9;2016-01-01;Юридических лиц - нерезидентов;21414;0;815865;815865
Совкомбанк;963;9;2016-01-01;Кредитных организаций;21415;387116;113203;500319
Совкомбанк;963;9;2016-01-01;Банков-нерезидентов;21416;0;0;0
Совкомбанк;963;9;2016-01-01;Банка России;21417;7308971;655571;7964542
Совкомбанк;963;9;2016-01-01;Граждан Российской Федерации;21501;12;0;12
Совкомбанк;963;9;2016-01-01;Нерезидентов;21502;0;0;0
Совкомбанк;963;9;2016-01-01;Граждан Российской Федерации;21601;11630657;705586;12336243
Совкомбанк;963;9;2016-01-01;Нерезидентов;21602;20737;28169;48906
Совкомбанк;963;9;2016-01-01;Граждан Российской Федерации;21701;0;0;0
Совкомбанк;963;9;2016-01-01;Нерезидентов;21702;0;0;0
Совкомбанк;963;9;2016-01-01;По облигациям;21801;187411;0;187411
Совкомбанк;963;9;2016-01-01;По депозитным сертификатам;21802;0;0;0
Совкомбанк;963;9;2016-01-01;По сберегательным сертификатам;21803;0;0;0
Совкомбанк;963;9;2016-01-01;По векселям;21804;195272;37094;232366
