Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Московский кредитный банк (МКБ);1978;7;2022-01-01;Минфину России;11101;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;1345677;0;1345677
Московский кредитный банк (МКБ);1978;7;2022-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;3154;0;3154
Московский кредитный банк (МКБ);1978;7;2022-01-01;негосударственным финансовым организациям;11111;809690;0;809690
Московский кредитный банк (МКБ);1978;7;2022-01-01;негосударственным коммерческим организациям;11112;46069557;2019558;48089115
Московский кредитный банк (МКБ);1978;7;2022-01-01;негосударственным некоммерческим организациям;11113;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;индивидуальным предпринимателям;11114;109;0;109
Московский кредитный банк (МКБ);1978;7;2022-01-01;гражданам (физическим лицам);11115;15714738;90060;15804798
Московский кредитный банк (МКБ);1978;7;2022-01-01;юридическим лицам - нерезидентам;11116;3087787;11445139;14532926
Московский кредитный банк (МКБ);1978;7;2022-01-01;физическим лицам - нерезидентам;11117;50390;101;50491
Московский кредитный банк (МКБ);1978;7;2022-01-01;кредитным организациям;11118;201921;1853;203774
Московский кредитный банк (МКБ);1978;7;2022-01-01;банкам-нерезидентам;11119;0;354889;354889
Московский кредитный банк (МКБ);1978;7;2022-01-01;иностранным государствам;11120;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в Минфине России;11201;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в негосударственных финансовых организациях;11211;56431956;9606938;66038894
Московский кредитный банк (МКБ);1978;7;2022-01-01;в негосударственных коммерческих организациях;11212;3043013;3188;3046201
Московский кредитный банк (МКБ);1978;7;2022-01-01;в негосударственных некоммерческих организациях;11213;1951;0;1951
Московский кредитный банк (МКБ);1978;7;2022-01-01;в юридических лицах - нерезидентах;11214;334996;847889;1182885
Московский кредитный банк (МКБ);1978;7;2022-01-01;в кредитных организациях;11215;987822;224700;1212522
Московский кредитный банк (МКБ);1978;7;2022-01-01;в банках-нерезидентах;11216;0;1103;1103
Московский кредитный банк (МКБ);1978;7;2022-01-01;в Банке России;11217;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;индивидуальным предпринимателям;11218;54;0;54
Московский кредитный банк (МКБ);1978;7;2022-01-01;гражданам (физическим лицам);11219;17637;3113;20750
Московский кредитный банк (МКБ);1978;7;2022-01-01;физическим лицам - нерезидентам;11220;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в Банке России;11301;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;в кредитных организациях;11302;4396;1654;6050
Московский кредитный банк (МКБ);1978;7;2022-01-01;в банках-нерезидентах;11303;0;10156;10156
Московский кредитный банк (МКБ);1978;7;2022-01-01;в Банке России;11401;47575;0;47575
Московский кредитный банк (МКБ);1978;7;2022-01-01;в кредитных организациях;11402;36000;0;36000
Московский кредитный банк (МКБ);1978;7;2022-01-01;в банках-нерезидентах;11403;0;3717;3717
Московский кредитный банк (МКБ);1978;7;2022-01-01;Российской Федерации;11501;1700128;39959;1740087
Московский кредитный банк (МКБ);1978;7;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;55744;0;55744
Московский кредитный банк (МКБ);1978;7;2022-01-01;Банка России;11503;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;кредитных организаций;11504;562230;0;562230
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих резидентов;11505;2441155;0;2441155
Московский кредитный банк (МКБ);1978;7;2022-01-01;иностранных государств;11506;120631;9;120640
Московский кредитный банк (МКБ);1978;7;2022-01-01;банков-нерезидентов;11507;13039;14;13053
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих нерезидентов;11508;97765;978098;1075863
Московский кредитный банк (МКБ);1978;7;2022-01-01;Российской Федерации;11601;10873396;293994;11167390
Московский кредитный банк (МКБ);1978;7;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;115835;0;115835
Московский кредитный банк (МКБ);1978;7;2022-01-01;Банка России;11603;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;кредитных организаций;11604;335209;0;335209
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих резидентов;11605;4512195;0;4512195
Московский кредитный банк (МКБ);1978;7;2022-01-01;иностранных государств;11606;713229;0;713229
Московский кредитный банк (МКБ);1978;7;2022-01-01;банков-нерезидентов;11607;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих нерезидентов;11608;95399;450835;546234
Московский кредитный банк (МКБ);1978;7;2022-01-01;Российской Федерации;11701;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11702;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;Банка России;11703;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;кредитных организаций;11704;0;206234;206234
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих резидентов;11705;59863;0;59863
Московский кредитный банк (МКБ);1978;7;2022-01-01;иностранных государств;11706;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;банков-нерезидентов;11707;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих нерезидентов;11708;0;1530900;1530900
Московский кредитный банк (МКБ);1978;7;2022-01-01;органов федеральной власти;11801;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;кредитных организаций;11803;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих резидентов;11804;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;органов государственной власти иностранных государств;11805;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;органов местной власти иностранных государств;11806;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;банков-нерезидентов;11807;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;прочих нерезидентов;11808;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;Минфину России;12101;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;государственным внебюджетным фондам Российской Федерации;12103;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;12104;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;финансовым организациям, находящимся в федеральной собственности;12105;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;12106;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;12107;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;12108;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12109;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12110;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;негосударственным финансовым организациям;12111;10862;0;10862
Московский кредитный банк (МКБ);1978;7;2022-01-01;негосударственным коммерческим организациям;12112;1812866;252812;2065678
Московский кредитный банк (МКБ);1978;7;2022-01-01;негосударственным некоммерческим организациям;12113;0;0;0
Московский кредитный банк (МКБ);1978;7;2022-01-01;индивидуальным предпринимателям;12114;40;0;40
Московский кредитный банк (МКБ);1978;7;2022-01-01;гражданам (физическим лицам);12115;445883;0;445883
Московский кредитный банк (МКБ);1978;7;2022-01-01;юридическим лицам - нерезидентам;12116;11994;351226;363220
Московский кредитный банк (МКБ);1978;7;2022-01-01;физическим лицам - нерезидентам;12117;4950;0;4950
