Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Райффайзен Банк;3292;10;2019-01-01;Минфину России;11101;0;0;0
Райффайзен Банк;3292;10;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;0;0;0
Райффайзен Банк;3292;10;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Райффайзен Банк;3292;10;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Райффайзен Банк;3292;10;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Райффайзен Банк;3292;10;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
Райффайзен Банк;3292;10;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Райффайзен Банк;3292;10;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Райффайзен Банк;3292;10;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
Райффайзен Банк;3292;10;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Райффайзен Банк;3292;10;2019-01-01;негосударственным финансовым организациям;11111;465640;67364;533004
Райффайзен Банк;3292;10;2019-01-01;негосударственным коммерческим организациям;11112;18284411;4410910;22695321
Райффайзен Банк;3292;10;2019-01-01;негосударственным некоммерческим организациям;11113;18062;0;18062
Райффайзен Банк;3292;10;2019-01-01;индивидуальным предпринимателям;11114;933943;0;933943
Райффайзен Банк;3292;10;2019-01-01;гражданам (физическим лицам);11115;32679556;551324;33230880
Райффайзен Банк;3292;10;2019-01-01;юридическим лицам - нерезидентам;11116;600838;1527112;2127950
Райффайзен Банк;3292;10;2019-01-01;физическим лицам - нерезидентам;11117;182989;22218;205207
Райффайзен Банк;3292;10;2019-01-01;кредитным организациям;11118;135796;3501;139297
Райффайзен Банк;3292;10;2019-01-01;банкам-нерезидентам;11119;6404;50044;56448
Райффайзен Банк;3292;10;2019-01-01;иностранным государствам;11120;0;0;0
Райффайзен Банк;3292;10;2019-01-01;в Минфине России;11201;0;0;0
Райффайзен Банк;3292;10;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Райффайзен Банк;3292;10;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
