Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Альфа-Банк;1326;5;2022-01-01;Минфину России;11101;0;0;0
Альфа-Банк;1326;5;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;401573;0;401573
Альфа-Банк;1326;5;2022-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Альфа-Банк;1326;5;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Альфа-Банк;1326;5;2022-01-01;финансовым организациям, находящимся в федеральной собственности;11105;2557474;0;2557474
Альфа-Банк;1326;5;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;1687673;366404;2054077
Альфа-Банк;1326;5;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;10697;0;10697
Альфа-Банк;1326;5;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;1402;0;1402
Альфа-Банк;1326;5;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;131915;0;131915
Альфа-Банк;1326;5;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;1204;0;1204
Альфа-Банк;1326;5;2022-01-01;негосударственным финансовым организациям;11111;11854773;285737;12140510
Альфа-Банк;1326;5;2022-01-01;негосударственным коммерческим организациям;11112;82119880;17844426;99964306
Альфа-Банк;1326;5;2022-01-01;негосударственным некоммерческим организациям;11113;155332;0;155332
Альфа-Банк;1326;5;2022-01-01;индивидуальным предпринимателям;11114;962925;2637;965562
Альфа-Банк;1326;5;2022-01-01;гражданам (физическим лицам);11115;121395608;367977;121763585
Альфа-Банк;1326;5;2022-01-01;юридическим лицам - нерезидентам;11116;4194698;5053536;9248234
Альфа-Банк;1326;5;2022-01-01;физическим лицам - нерезидентам;11117;86480;319;86799
Альфа-Банк;1326;5;2022-01-01;кредитным организациям;11118;1720962;106343;1827305
Альфа-Банк;1326;5;2022-01-01;банкам-нерезидентам;11119;1285;69377;70662
Альфа-Банк;1326;5;2022-01-01;иностранным государствам;11120;0;0;0
Альфа-Банк;1326;5;2022-01-01;в Минфине России;11201;0;0;0
Альфа-Банк;1326;5;2022-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Альфа-Банк;1326;5;2022-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Альфа-Банк;1326;5;2022-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Альфа-Банк;1326;5;2022-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
