Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Совкомбанк;963;9;2019-01-01;Минфину России;11101;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;1134512;0;1134512
Совкомбанк;963;9;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Совкомбанк;963;9;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Совкомбанк;963;9;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;82092;0;82092
Совкомбанк;963;9;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;378;0;378
Совкомбанк;963;9;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Совкомбанк;963;9;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;4028;0;4028
Совкомбанк;963;9;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Совкомбанк;963;9;2019-01-01;негосударственным финансовым организациям;11111;2879723;294715;3174438
Совкомбанк;963;9;2019-01-01;негосударственным коммерческим организациям;11112;4565873;168557;4734430
Совкомбанк;963;9;2019-01-01;негосударственным некоммерческим организациям;11113;1230;0;1230
Совкомбанк;963;9;2019-01-01;индивидуальным предпринимателям;11114;324933;68642;393575
Совкомбанк;963;9;2019-01-01;гражданам (физическим лицам);11115;28296828;192256;28489084
Совкомбанк;963;9;2019-01-01;юридическим лицам - нерезидентам;11116;137449;922673;1060122
Совкомбанк;963;9;2019-01-01;физическим лицам - нерезидентам;11117;3401;99;3500
Совкомбанк;963;9;2019-01-01;кредитным организациям;11118;8088337;181052;8269389
Совкомбанк;963;9;2019-01-01;банкам-нерезидентам;11119;0;143451;143451
Совкомбанк;963;9;2019-01-01;иностранным государствам;11120;0;0;0
Совкомбанк;963;9;2019-01-01;в Минфине России;11201;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Совкомбанк;963;9;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Совкомбанк;963;9;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Совкомбанк;963;9;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Совкомбанк;963;9;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Совкомбанк;963;9;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Совкомбанк;963;9;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Совкомбанк;963;9;2019-01-01;в негосударственных финансовых организациях;11211;6774;0;6774
Совкомбанк;963;9;2019-01-01;в негосударственных коммерческих организациях;11212;40644;4616;45260
Совкомбанк;963;9;2019-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Совкомбанк;963;9;2019-01-01;в юридических лицах - нерезидентах;11214;11964;59873;71837
Совкомбанк;963;9;2019-01-01;в кредитных организациях;11215;369165;189602;558767
Совкомбанк;963;9;2019-01-01;в банках-нерезидентах;11216;0;38617;38617
Совкомбанк;963;9;2019-01-01;в Банке России;11217;0;0;0
Совкомбанк;963;9;2019-01-01;индивидуальным предпринимателям;11218;0;0;0
Совкомбанк;963;9;2019-01-01;гражданам (физическим лицам);11219;1113;238;1351
Совкомбанк;963;9;2019-01-01;физическим лицам - нерезидентам;11220;0;0;0
Совкомбанк;963;9;2019-01-01;в Банке России;11301;0;0;0
Совкомбанк;963;9;2019-01-01;в кредитных организациях;11302;36;21;57
Совкомбанк;963;9;2019-01-01;в банках-нерезидентах;11303;0;905;905
Совкомбанк;963;9;2019-01-01;в Банке России;11401;49539;0;49539
Совкомбанк;963;9;2019-01-01;в кредитных организациях;11402;0;0;0
Совкомбанк;963;9;2019-01-01;в банках-нерезидентах;11403;0;0;0
Совкомбанк;963;9;2019-01-01;Российской Федерации;11501;0;0;0
Совкомбанк;963;9;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;0;0;0
Совкомбанк;963;9;2019-01-01;Банка России;11503;0;0;0
Совкомбанк;963;9;2019-01-01;кредитных организаций;11504;0;0;0
Совкомбанк;963;9;2019-01-01;прочих резидентов;11505;0;0;0
Совкомбанк;963;9;2019-01-01;иностранных государств;11506;0;0;0
Совкомбанк;963;9;2019-01-01;банков-нерезидентов;11507;0;0;0
Совкомбанк;963;9;2019-01-01;прочих нерезидентов;11508;0;0;0
Совкомбанк;963;9;2019-01-01;Российской Федерации;11601;20243;36038;56281
Совкомбанк;963;9;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;2269364;0;2269364
Совкомбанк;963;9;2019-01-01;Банка России;11603;0;0;0
Совкомбанк;963;9;2019-01-01;кредитных организаций;11604;848947;185;849132
Совкомбанк;963;9;2019-01-01;прочих резидентов;11605;3280728;790121;4070849
Совкомбанк;963;9;2019-01-01;иностранных государств;11606;0;4286;4286
Совкомбанк;963;9;2019-01-01;банков-нерезидентов;11607;0;6343;6343
Совкомбанк;963;9;2019-01-01;прочих нерезидентов;11608;188;2587771;2587959
Совкомбанк;963;9;2019-01-01;Российской Федерации;11701;3501;0;3501
Совкомбанк;963;9;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11702;599330;0;599330
Совкомбанк;963;9;2019-01-01;Банка России;11703;0;0;0
Совкомбанк;963;9;2019-01-01;кредитных организаций;11704;32064;0;32064
Совкомбанк;963;9;2019-01-01;прочих резидентов;11705;782365;278338;1060703
Совкомбанк;963;9;2019-01-01;иностранных государств;11706;0;0;0
Совкомбанк;963;9;2019-01-01;банков-нерезидентов;11707;0;0;0
Совкомбанк;963;9;2019-01-01;прочих нерезидентов;11708;180600;4167139;4347739
Совкомбанк;963;9;2019-01-01;органов федеральной власти;11801;0;0;0
Совкомбанк;963;9;2019-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
Совкомбанк;963;9;2019-01-01;кредитных организаций;11803;0;0;0
Совкомбанк;963;9;2019-01-01;прочих резидентов;11804;0;0;0
Совкомбанк;963;9;2019-01-01;органов государственной власти иностранных государств;11805;0;0;0
Совкомбанк;963;9;2019-01-01;органов местной власти иностранных государств;11806;0;0;0
Совкомбанк;963;9;2019-01-01;банков-нерезидентов;11807;0;0;0
Совкомбанк;963;9;2019-01-01;прочих нерезидентов;11808;0;0;0
Совкомбанк;963;9;2019-01-01;Минфину России;12101;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
Совкомбанк;963;9;2019-01-01;государственным внебюджетным фондам Российской Федерации;12103;0;0;0
Совкомбанк;963;9;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;12104;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым организациям, находящимся в федеральной собственности;12105;0;0;0
Совкомбанк;963;9;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;12106;555;0;555
Совкомбанк;963;9;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;12107;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;12108;0;0;0
Совкомбанк;963;9;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12109;79;0;79
Совкомбанк;963;9;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12110;0;0;0
Совкомбанк;963;9;2019-01-01;негосударственным финансовым организациям;12111;6693;57336;64029
Совкомбанк;963;9;2019-01-01;негосударственным коммерческим организациям;12112;310330;21358;331688
Совкомбанк;963;9;2019-01-01;негосударственным некоммерческим организациям;12113;79;0;79
Совкомбанк;963;9;2019-01-01;индивидуальным предпринимателям;12114;8962;0;8962
Совкомбанк;963;9;2019-01-01;гражданам (физическим лицам);12115;966443;0;966443
Совкомбанк;963;9;2019-01-01;юридическим лицам - нерезидентам;12116;6918;92982;99900
Совкомбанк;963;9;2019-01-01;физическим лицам - нерезидентам;12117;0;0;0
Совкомбанк;963;9;2019-01-01;кредитным организациям;12118;0;34221;34221
Совкомбанк;963;9;2019-01-01;банкам-нерезидентам;12119;0;0;0
Совкомбанк;963;9;2019-01-01;иностранным государствам;12120;0;0;0
Совкомбанк;963;9;2019-01-01;в Минфине России;12201;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;12202;0;0;0
Совкомбанк;963;9;2019-01-01;в государственных внебюджетных фондах Российской Федерации;12203;0;0;0
Совкомбанк;963;9;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;12204;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;12205;0;0;0
Совкомбанк;963;9;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;12206;0;0;0
Совкомбанк;963;9;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;12207;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;12208;0;0;0
Совкомбанк;963;9;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12209;0;0;0
Совкомбанк;963;9;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12210;0;0;0
Совкомбанк;963;9;2019-01-01;в негосударственных финансовых организациях;12211;0;0;0
Совкомбанк;963;9;2019-01-01;в негосударственных коммерческих организациях;12212;1692;0;1692
Совкомбанк;963;9;2019-01-01;в негосударственных некоммерческих организациях;12213;0;0;0
Совкомбанк;963;9;2019-01-01;в юридических лицах - нерезидентах;12214;0;0;0
Совкомбанк;963;9;2019-01-01;в кредитных организациях;12215;0;0;0
Совкомбанк;963;9;2019-01-01;в банках-нерезидентах;12216;0;0;0
Совкомбанк;963;9;2019-01-01;в Банке России;12217;0;0;0
Совкомбанк;963;9;2019-01-01;индивидуальным предпринимателям;12218;0;0;0
Совкомбанк;963;9;2019-01-01;гражданам (физическим лицам);12219;109;0;109
Совкомбанк;963;9;2019-01-01;физическим лицам - нерезидентам;12220;0;0;0
Совкомбанк;963;9;2019-01-01;в Банке России;12301;0;0;0
Совкомбанк;963;9;2019-01-01;в кредитных организациях;12302;0;0;0
Совкомбанк;963;9;2019-01-01;в банках-нерезидентах;12303;0;0;0
Совкомбанк;963;9;2019-01-01;Минфину России;13101;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;13102;0;0;0
Совкомбанк;963;9;2019-01-01;государственным внебюджетным фондам Российской Федерации;13103;0;0;0
Совкомбанк;963;9;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;13104;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым организациям, находящимся в федеральной собственности;13105;0;0;0
Совкомбанк;963;9;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;13106;0;0;0
Совкомбанк;963;9;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;13107;0;0;0
Совкомбанк;963;9;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;13108;0;0;0
Совкомбанк;963;9;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13109;0;0;0
Совкомбанк;963;9;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13110;0;0;0
Совкомбанк;963;9;2019-01-01;негосударственным финансовым организациям;13111;0;0;0
Совкомбанк;963;9;2019-01-01;негосударственным коммерческим организациям;13112;0;0;0
Совкомбанк;963;9;2019-01-01;негосударственным некоммерческим организациям;13113;0;0;0
Совкомбанк;963;9;2019-01-01;индивидуальным предпринимателям;13114;0;0;0
Совкомбанк;963;9;2019-01-01;гражданам (физическим лицам);13115;0;0;0
Совкомбанк;963;9;2019-01-01;юридическим лицам - нерезидентам;13116;0;0;0
Совкомбанк;963;9;2019-01-01;физическим лицам - нерезидентам;13117;0;0;0
Совкомбанк;963;9;2019-01-01;кредитным организациям;13118;0;0;0
Совкомбанк;963;9;2019-01-01;банкам-нерезидентам;13119;0;0;0
Совкомбанк;963;9;2019-01-01;иностранным государствам;13120;0;0;0
Совкомбанк;963;9;2019-01-01;в Минфине России;13201;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;13202;0;0;0
Совкомбанк;963;9;2019-01-01;в государственных внебюджетных фондах Российской Федерации;13203;0;0;0
Совкомбанк;963;9;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;13204;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;13205;0;0;0
Совкомбанк;963;9;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;13206;0;0;0
Совкомбанк;963;9;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;13207;0;0;0
Совкомбанк;963;9;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;13208;0;0;0
