Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Россельхозбанк;3349;6;2016-01-01;Минфину  России;11101;0;0;0
Россельхозбанк;3349;6;2016-01-01;Финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;964267;0;964267
Россельхозбанк;3349;6;2016-01-01;Государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Россельхозбанк;3349;6;2016-01-01;Внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Россельхозбанк;3349;6;2016-01-01;Финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Россельхозбанк;3349;6;2016-01-01;Коммерческим организациям, находящимся в федеральной собственности;11106;1732404;0;1732404
Россельхозбанк;3349;6;2016-01-01;Некоммерческим организациям, находящимся в федеральной собственности;11107;9214;0;9214
Россельхозбанк;3349;6;2016-01-01;Финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Россельхозбанк;3349;6;2016-01-01;Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;518184;0;518184
Россельхозбанк;3349;6;2016-01-01;Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;17998;0;17998
Россельхозбанк;3349;6;2016-01-01;Негосударственным финансовым организациям;11111;222628;0;222628
Россельхозбанк;3349;6;2016-01-01;Негосударственным коммерческим организациям;11112;110266267;14338461;124604728
Россельхозбанк;3349;6;2016-01-01;Негосударственным некоммерческим организациям;11113;650795;0;650795
Россельхозбанк;3349;6;2016-01-01;Индивидуальным предпринимателям;11114;9098722;230;9098952
Россельхозбанк;3349;6;2016-01-01;Гражданам (физическим лицам);11115;41619115;39518;41658633
Россельхозбанк;3349;6;2016-01-01;Юридическим лицам-нерезидентам;11116;0;0;0
Россельхозбанк;3349;6;2016-01-01;Физическим лицам-нерезидентам;11117;0;0;0
Россельхозбанк;3349;6;2016-01-01;Кредитным организациям;11118;4738565;260205;4998770
Россельхозбанк;3349;6;2016-01-01;Банкам-нерезидентам;11119;484627;3690155;4174782
Россельхозбанк;3349;6;2016-01-01;Минфине России;11201;0;0;0
Россельхозбанк;3349;6;2016-01-01;Финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Россельхозбанк;3349;6;2016-01-01;Государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Россельхозбанк;3349;6;2016-01-01;Внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Россельхозбанк;3349;6;2016-01-01;Финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Россельхозбанк;3349;6;2016-01-01;Коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Россельхозбанк;3349;6;2016-01-01;Некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Россельхозбанк;3349;6;2016-01-01;Финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Россельхозбанк;3349;6;2016-01-01;Коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Россельхозбанк;3349;6;2016-01-01;Некоммерческими организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Россельхозбанк;3349;6;2016-01-01;Негосударственных финансовых организациях;11211;532434;772;533206
Россельхозбанк;3349;6;2016-01-01;Негосударственных коммерческих организациях;11212;0;0;0
Россельхозбанк;3349;6;2016-01-01;Негосударственных некоммерческих организациях;11213;0;0;0
Россельхозбанк;3349;6;2016-01-01;Юридических лицах-нерезидентах;11214;0;0;0
