Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Банк «Открытие»;2209;8;2022-01-01;Минфину России;11101;0;0;0
Банк «Открытие»;2209;8;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;847555;0;847555
Банк «Открытие»;2209;8;2022-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Банк «Открытие»;2209;8;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Банк «Открытие»;2209;8;2022-01-01;финансовым организациям, находящимся в федеральной собственности;11105;2263503;0;2263503
Банк «Открытие»;2209;8;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;382311;0;382311
Банк «Открытие»;2209;8;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;94;0;94
Банк «Открытие»;2209;8;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Банк «Открытие»;2209;8;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;94789;0;94789
Банк «Открытие»;2209;8;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;50;0;50
Банк «Открытие»;2209;8;2022-01-01;негосударственным финансовым организациям;11111;8972734;1072914;10045648
Банк «Открытие»;2209;8;2022-01-01;негосударственным коммерческим организациям;11112;52306688;10005682;62312370
Банк «Открытие»;2209;8;2022-01-01;негосударственным некоммерческим организациям;11113;67473;0;67473
Банк «Открытие»;2209;8;2022-01-01;индивидуальным предпринимателям;11114;2759027;153;2759180
Банк «Открытие»;2209;8;2022-01-01;гражданам (физическим лицам);11115;48432074;114091;48546165
Банк «Открытие»;2209;8;2022-01-01;юридическим лицам - нерезидентам;11116;1241826;2844390;4086216
Банк «Открытие»;2209;8;2022-01-01;физическим лицам - нерезидентам;11117;5925;1049;6974
Банк «Открытие»;2209;8;2022-01-01;кредитным организациям;11118;6993942;1272;6995214
Банк «Открытие»;2209;8;2022-01-01;банкам-нерезидентам;11119;0;91359;91359
Банк «Открытие»;2209;8;2022-01-01;иностранным государствам;11120;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в Минфине России;11201;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Банк «Открытие»;2209;8;2022-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в негосударственных финансовых организациях;11211;21653;5118;26771
Банк «Открытие»;2209;8;2022-01-01;в негосударственных коммерческих организациях;11212;102973;0;102973
Банк «Открытие»;2209;8;2022-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в юридических лицах - нерезидентах;11214;651954;3409;655363
Банк «Открытие»;2209;8;2022-01-01;в кредитных организациях;11215;1627497;118440;1745937
Банк «Открытие»;2209;8;2022-01-01;в банках-нерезидентах;11216;24835;4177;29012
Банк «Открытие»;2209;8;2022-01-01;в Банке России;11217;0;0;0
Банк «Открытие»;2209;8;2022-01-01;индивидуальным предпринимателям;11218;31;0;31
Банк «Открытие»;2209;8;2022-01-01;гражданам (физическим лицам);11219;6;0;6
Банк «Открытие»;2209;8;2022-01-01;физическим лицам - нерезидентам;11220;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в Банке России;11301;0;0;0
Банк «Открытие»;2209;8;2022-01-01;в кредитных организациях;11302;21401;1663;23064
Банк «Открытие»;2209;8;2022-01-01;в банках-нерезидентах;11303;21;26864;26885
Банк «Открытие»;2209;8;2022-01-01;в Банке России;11401;2081555;0;2081555
Банк «Открытие»;2209;8;2022-01-01;в кредитных организациях;11402;446320;0;446320
Банк «Открытие»;2209;8;2022-01-01;в банках-нерезидентах;11403;0;10698;10698
Банк «Открытие»;2209;8;2022-01-01;Российской Федерации;11501;8607141;148028;8755169
Банк «Открытие»;2209;8;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;186686;0;186686
Банк «Открытие»;2209;8;2022-01-01;Банка России;11503;6;0;6
Банк «Открытие»;2209;8;2022-01-01;кредитных организаций;11504;272219;0;272219
Банк «Открытие»;2209;8;2022-01-01;прочих резидентов;11505;2597939;0;2597939
Банк «Открытие»;2209;8;2022-01-01;иностранных государств;11506;0;3;3
Банк «Открытие»;2209;8;2022-01-01;банков-нерезидентов;11507;562;0;562
Банк «Открытие»;2209;8;2022-01-01;прочих нерезидентов;11508;32446;460226;492672
Банк «Открытие»;2209;8;2022-01-01;Российской Федерации;11601;18791465;0;18791465
Банк «Открытие»;2209;8;2022-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;228049;0;228049
Банк «Открытие»;2209;8;2022-01-01;Банка России;11603;0;0;0
