Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Газпромбанк;354;3;2016-01-01;Минфину  России;11101;0;0;0
Газпромбанк;354;3;2016-01-01;Финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;0;0;0
Газпромбанк;354;3;2016-01-01;Государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Газпромбанк;354;3;2016-01-01;Внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Газпромбанк;354;3;2016-01-01;Финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Газпромбанк;354;3;2016-01-01;Коммерческим организациям, находящимся в федеральной собственности;11106;1499785;447961;1947746
Газпромбанк;354;3;2016-01-01;Некоммерческим организациям, находящимся в федеральной собственности;11107;181;0;181
Газпромбанк;354;3;2016-01-01;Финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Газпромбанк;354;3;2016-01-01;Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;326569;0;326569
Газпромбанк;354;3;2016-01-01;Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Газпромбанк;354;3;2016-01-01;Негосударственным финансовым организациям;11111;0;22610;22610
Газпромбанк;354;3;2016-01-01;Негосударственным коммерческим организациям;11112;177739534;55682782;233422316
Газпромбанк;354;3;2016-01-01;Негосударственным некоммерческим организациям;11113;49665;0;49665
Газпромбанк;354;3;2016-01-01;Индивидуальным предпринимателям;11114;0;0;0
Газпромбанк;354;3;2016-01-01;Гражданам (физическим лицам);11115;35442410;339366;35781776
Газпромбанк;354;3;2016-01-01;Юридическим лицам-нерезидентам;11116;7139837;42214806;49354643
Газпромбанк;354;3;2016-01-01;Физическим лицам-нерезидентам;11117;1466;2604;4070
Газпромбанк;354;3;2016-01-01;Кредитным организациям;11118;1834993;349;1835342
Газпромбанк;354;3;2016-01-01;Банкам-нерезидентам;11119;409123;797603;1206726
Газпромбанк;354;3;2016-01-01;Минфине России;11201;0;0;0
Газпромбанк;354;3;2016-01-01;Финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Газпромбанк;354;3;2016-01-01;Государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Газпромбанк;354;3;2016-01-01;Внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Газпромбанк;354;3;2016-01-01;Финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Газпромбанк;354;3;2016-01-01;Коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Газпромбанк;354;3;2016-01-01;Некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Газпромбанк;354;3;2016-01-01;Финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Газпромбанк;354;3;2016-01-01;Коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Газпромбанк;354;3;2016-01-01;Некоммерческими организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Газпромбанк;354;3;2016-01-01;Негосударственных финансовых организациях;11211;548309;2519;550828
Газпромбанк;354;3;2016-01-01;Негосударственных коммерческих организациях;11212;80414;0;80414
Газпромбанк;354;3;2016-01-01;Негосударственных некоммерческих организациях;11213;0;0;0
Газпромбанк;354;3;2016-01-01;Юридических лицах-нерезидентах;11214;4092;2526419;2530511
Газпромбанк;354;3;2016-01-01;Кредитных организациях;11215;2682723;25255;2707978
Газпромбанк;354;3;2016-01-01;Банках-нерезидентах;11216;801707;179432;981139
Газпромбанк;354;3;2016-01-01;В Банке России;11217;20;0;20
Газпромбанк;354;3;2016-01-01;В Банке России;11301;0;0;0
Газпромбанк;354;3;2016-01-01;В кредитных организациях;11302;2486;211;2697
Газпромбанк;354;3;2016-01-01;В банках-нерезидентах;11303;0;12819;12819
Газпромбанк;354;3;2016-01-01;В Банке России;11401;1551596;0;1551596
Газпромбанк;354;3;2016-01-01;В кредитных организациях;11402;0;0;0
Газпромбанк;354;3;2016-01-01;В банках-нерезидентах;11403;0;5370;5370
Газпромбанк;354;3;2016-01-01;Российской Федерации;11501;12079381;1485118;13564499
Газпромбанк;354;3;2016-01-01;Субъектов Российской Федерации и органов местного самоуправления;11502;1642;0;1642
Газпромбанк;354;3;2016-01-01;Банка России;11503;0;0;0
Газпромбанк;354;3;2016-01-01;Кредитных организаций;11504;2660155;190035;2850190
Газпромбанк;354;3;2016-01-01;Прочие долговые обязательства;11505;6486432;0;6486432
Газпромбанк;354;3;2016-01-01;Иностранных государств;11506;0;2247;2247
Газпромбанк;354;3;2016-01-01;Банков-нерезидентов;11507;318;192409;192727
Газпромбанк;354;3;2016-01-01;Прочие долговые обязательства нерезидентов;11508;5194030;12963816;18157846
Газпромбанк;354;3;2016-01-01;Органов федеральной власти;11601;0;0;0
Газпромбанк;354;3;2016-01-01;Органов власти субъектов Российской Федерации и органов местного самоуправления;11602;0;0;0
Газпромбанк;354;3;2016-01-01;Кредитных организаций;11603;39153;906533;945686
Газпромбанк;354;3;2016-01-01;Векселям прочих резидентов;11604;280830;0;280830
Газпромбанк;354;3;2016-01-01;Органов государственной власти иностранных государств;11605;0;0;0
Газпромбанк;354;3;2016-01-01;Органов местной власти иностранных государств;11606;0;0;0
Газпромбанк;354;3;2016-01-01;Банков-нерезидентов;11607;0;0;0
Газпромбанк;354;3;2016-01-01;Векселям прочих нерезидентов;11608;0;0;0
Газпромбанк;354;3;2016-01-01;Вознаграждение за открытие и ведение банковских счетов;12101;224963;11884;236847
Газпромбанк;354;3;2016-01-01;Вознаграждение за расчетное и кассовое обслуживание;12102;12607267;968747;13576014
Газпромбанк;354;3;2016-01-01;Доходы от купли-продажи иностранной валюты в наличной и безналичной формах;12201;108676364;;108676364
Газпромбанк;354;3;2016-01-01;Доходы от выдачи банковских гарантий и поручительств;12301;4076451;1872778;5949229
Газпромбанк;354;3;2016-01-01;От погашения и реализации приобретенных прав требования;12401;108206;;108206
Газпромбанк;354;3;2016-01-01;От операций по доверительному управлению имуществом;12402;14849;0;14849
Газпромбанк;354;3;2016-01-01;От операций с драгоценными металлами и драгоценными камнями;12403;858399;;858399
Газпромбанк;354;3;2016-01-01;От предоставления в аренду специальных помещений и сейфов для хранения документов и ценностей;12404;89298;0;89298
Газпромбанк;354;3;2016-01-01;От операций финансовой аренды (лизинга);12405;0;0;0
Газпромбанк;354;3;2016-01-01;От оказания консультационных и информационных услуг;12406;143910;991617;1135527
Газпромбанк;354;3;2016-01-01;от реализации (уступки) прав требования по заключенным кредитной организацией договорам на предоставление (размещение) денежных средств;12407;0;0;0
Газпромбанк;354;3;2016-01-01;Российской Федерации;13101;4510332;;4510332
Газпромбанк;354;3;2016-01-01;Субъектов Российской Федерации и органов местного самоуправления;13102;3944;;3944
Газпромбанк;354;3;2016-01-01;Банка России;13103;0;;0
Газпромбанк;354;3;2016-01-01;Кредитных организаций;13104;536680;;536680
Газпромбанк;354;3;2016-01-01;Прочих ценных бумаг;13105;1999128;;1999128
Газпромбанк;354;3;2016-01-01;Иностранных государств;13106;10232;;10232
Газпромбанк;354;3;2016-01-01;Банков-нерезидентов;13107;580541;;580541
Газпромбанк;354;3;2016-01-01;Прочих ценных бумаг нерезидентов;13108;8834575;;8834575
Газпромбанк;354;3;2016-01-01;Доходы от операций с выпущенными ценными  бумагами;13201;9043;0;9043
Газпромбанк;354;3;2016-01-01;Кредитных организаций;14101;759;0;759
Газпромбанк;354;3;2016-01-01;Других организаций;14102;574897;0;574897
Газпромбанк;354;3;2016-01-01;Банков-нерезидентов;14103;0;8149;8149
Газпромбанк;354;3;2016-01-01;Других организаций-нерезидентов;14104;0;1757;1757
