Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Альфа-Банк;1326;5;2019-01-01;в кредитных организациях;12302;0;0;0
Альфа-Банк;1326;5;2019-01-01;в банках-нерезидентах;12303;0;0;0
Альфа-Банк;1326;5;2019-01-01;Минфину России;13101;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;13102;0;0;0
Альфа-Банк;1326;5;2019-01-01;государственным внебюджетным фондам Российской Федерации;13103;0;0;0
Альфа-Банк;1326;5;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;13104;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в федеральной собственности;13105;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;13106;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;13107;0;0;0
Альфа-Банк;1326;5;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;13108;0;0;0
Альфа-Банк;1326;5;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13109;0;0;0
Альфа-Банк;1326;5;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13110;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным финансовым организациям;13111;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным коммерческим организациям;13112;0;0;0
Альфа-Банк;1326;5;2019-01-01;негосударственным некоммерческим организациям;13113;0;0;0
Альфа-Банк;1326;5;2019-01-01;индивидуальным предпринимателям;13114;0;0;0
Альфа-Банк;1326;5;2019-01-01;гражданам (физическим лицам);13115;0;0;0
Альфа-Банк;1326;5;2019-01-01;юридическим лицам - нерезидентам;13116;0;0;0
Альфа-Банк;1326;5;2019-01-01;физическим лицам - нерезидентам;13117;0;0;0
Альфа-Банк;1326;5;2019-01-01;кредитным организациям;13118;0;0;0
Альфа-Банк;1326;5;2019-01-01;банкам-нерезидентам;13119;0;0;0
Альфа-Банк;1326;5;2019-01-01;иностранным государствам;13120;0;0;0
Альфа-Банк;1326;5;2019-01-01;в Минфине России;13201;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;13202;0;0;0
Альфа-Банк;1326;5;2019-01-01;в государственных внебюджетных фондах Российской Федерации;13203;0;0;0
Альфа-Банк;1326;5;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;13204;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;13205;0;0;0
Альфа-Банк;1326;5;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;13206;0;0;0
Альфа-Банк;1326;5;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;13207;0;0;0
Альфа-Банк;1326;5;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;13208;0;0;0
