Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Минфину России;11101;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным финансовым организациям;11111;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным коммерческим организациям;11112;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным некоммерческим организациям;11113;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;индивидуальным предпринимателям;11114;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;гражданам (физическим лицам);11115;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;юридическим лицам - нерезидентам;11116;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;физическим лицам - нерезидентам;11117;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;кредитным организациям;11118;1426547;5870;1432417
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;банкам-нерезидентам;11119;0;3;3
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;иностранным государствам;11120;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в Минфине России;11201;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в негосударственных финансовых организациях;11211;78004359;1426581;79430940
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в негосударственных коммерческих организациях;11212;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в юридических лицах - нерезидентах;11214;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в кредитных организациях;11215;81910465;12058019;93968484
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в банках-нерезидентах;11216;0;956;956
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в Банке России;11217;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;индивидуальным предпринимателям;11218;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;гражданам (физическим лицам);11219;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;физическим лицам - нерезидентам;11220;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в Банке России;11301;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в кредитных организациях;11302;16845;38027;54872
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в банках-нерезидентах;11303;0;1124029;1124029
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в Банке России;11401;1155854;0;1155854
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в кредитных организациях;11402;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в банках-нерезидентах;11403;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Российской Федерации;11501;1399;0;1399
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11502;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Банка России;11503;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;кредитных организаций;11504;101;0;101
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих резидентов;11505;1138;0;1138
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;иностранных государств;11506;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;банков-нерезидентов;11507;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих нерезидентов;11508;0;375;375
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Российской Федерации;11601;4259611;2744435;7004046
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11602;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Банка России;11603;1147782;0;1147782
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;кредитных организаций;11604;1817566;0;1817566
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих резидентов;11605;1833909;0;1833909
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;иностранных государств;11606;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;банков-нерезидентов;11607;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих нерезидентов;11608;295599;1590093;1885692
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Российской Федерации;11701;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;субъектов Российской Федерации и органов местного самоуправления;11702;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Банка России;11703;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;кредитных организаций;11704;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих резидентов;11705;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;иностранных государств;11706;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;банков-нерезидентов;11707;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих нерезидентов;11708;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;органов федеральной власти;11801;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;органов власти субъектов Российской Федерации и органов местного самоуправления;11802;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;кредитных организаций;11803;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих резидентов;11804;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;органов государственной власти иностранных государств;11805;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;органов местной власти иностранных государств;11806;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;банков-нерезидентов;11807;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;прочих нерезидентов;11808;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Минфину России;12101;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;12102;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;государственным внебюджетным фондам Российской Федерации;12103;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;12104;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым организациям, находящимся в федеральной собственности;12105;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;12106;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;12107;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;12108;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12109;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;12110;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным финансовым организациям;12111;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным коммерческим организациям;12112;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным некоммерческим организациям;12113;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;индивидуальным предпринимателям;12114;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;гражданам (физическим лицам);12115;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;юридическим лицам - нерезидентам;12116;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;физическим лицам - нерезидентам;12117;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;кредитным организациям;12118;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;банкам-нерезидентам;12119;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;иностранным государствам;12120;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в Минфине России;12201;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;12202;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в государственных внебюджетных фондах Российской Федерации;12203;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;12204;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в финансовых организациях, находящихся в федеральной собственности;12205;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в коммерческих организациях, находящихся в федеральной собственности;12206;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в некоммерческих организациях, находящихся в федеральной собственности;12207;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;12208;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12209;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;12210;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в негосударственных финансовых организациях;12211;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в негосударственных коммерческих организациях;12212;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в негосударственных некоммерческих организациях;12213;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в юридических лицах - нерезидентах;12214;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в кредитных организациях;12215;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в банках-нерезидентах;12216;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в Банке России;12217;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;индивидуальным предпринимателям;12218;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;гражданам (физическим лицам);12219;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;физическим лицам - нерезидентам;12220;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в Банке России;12301;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в кредитных организациях;12302;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;в банках-нерезидентах;12303;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;Минфину России;13101;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;13102;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;государственным внебюджетным фондам Российской Федерации;13103;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;13104;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым организациям, находящимся в федеральной собственности;13105;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;коммерческим организациям, находящимся в федеральной собственности;13106;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;некоммерческим организациям, находящимся в федеральной собственности;13107;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;13108;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13109;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;13110;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным финансовым организациям;13111;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным коммерческим организациям;13112;0;0;0
НКЦ (Национальный клиринговый центр);3466;4;2019-01-01;негосударственным некоммерческим организациям;13113;0;0;0
