Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Московский кредитный банк (МКБ);1978;7;2016-01-01;Минфину  России;11101;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Коммерческим организациям, находящимся в федеральной собственности;11106;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Некоммерческим организациям, находящимся в федеральной собственности;11107;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Негосударственным финансовым организациям;11111;1208274;0;1208274
Московский кредитный банк (МКБ);1978;7;2016-01-01;Негосударственным коммерческим организациям;11112;32258592;6566416;38825008
Московский кредитный банк (МКБ);1978;7;2016-01-01;Негосударственным некоммерческим организациям;11113;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Индивидуальным предпринимателям;11114;4798;0;4798
Московский кредитный банк (МКБ);1978;7;2016-01-01;Гражданам (физическим лицам);11115;22012451;576971;22589422
Московский кредитный банк (МКБ);1978;7;2016-01-01;Юридическим лицам-нерезидентам;11116;2687086;1923094;4610180
Московский кредитный банк (МКБ);1978;7;2016-01-01;Физическим лицам-нерезидентам;11117;15502;6724;22226
Московский кредитный банк (МКБ);1978;7;2016-01-01;Кредитным организациям;11118;1918556;99613;2018169
Московский кредитный банк (МКБ);1978;7;2016-01-01;Банкам-нерезидентам;11119;1181;97011;98192
Московский кредитный банк (МКБ);1978;7;2016-01-01;Минфине России;11201;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Коммерческих организациях, находящихся в федеральной собственности;11206;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Московский кредитный банк (МКБ);1978;7;2016-01-01;Коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
