Банк;Номер лицензии банка;Место в рейтинге;Дата отчёта;Наименование статей;Символы;Суммы в рублях от операций в рублях;Суммы в рублях от операций в ин. валюте и драг. металлах;Всего
Сбербанк;1481;1;2022-01-01;Минфину России;11101;0;0;0
Сбербанк;1481;1;2022-01-01;финансовым органам субъектов Российской Федерации и органов местного самоуправления;11102;28134722;0;28134722
Сбербанк;1481;1;2022-01-01;государственным внебюджетным фондам Российской Федерации;11103;0;0;0
Сбербанк;1481;1;2022-01-01;внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления;11104;0;0;0
Сбербанк;1481;1;2022-01-01;финансовым организациям, находящимся в федеральной собственности;11105;0;0;0
Сбербанк;1481;1;2022-01-01;коммерческим организациям, находящимся в федеральной собственности;11106;16864603;3545530;20410133
Сбербанк;1481;1;2022-01-01;некоммерческим организациям, находящимся в федеральной собственности;11107;50975;0;50975
Сбербанк;1481;1;2022-01-01;финансовым организациям, находящимся в государственной (кроме федеральной) собственности;11108;0;24477;24477
Сбербанк;1481;1;2022-01-01;коммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11109;4808299;1220;4809519
Сбербанк;1481;1;2022-01-01;некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности;11110;75802;0;75802
Сбербанк;1481;1;2022-01-01;негосударственным финансовым организациям;11111;82647602;8775325;91422927
Сбербанк;1481;1;2022-01-01;негосударственным коммерческим организациям;11112;546577639;115680544;662258183
Сбербанк;1481;1;2022-01-01;негосударственным некоммерческим организациям;11113;1020770;0;1020770
Сбербанк;1481;1;2022-01-01;индивидуальным предпринимателям;11114;33786627;1003;33787630
Сбербанк;1481;1;2022-01-01;гражданам (физическим лицам);11115;1092453897;75986;1092529883
Сбербанк;1481;1;2022-01-01;юридическим лицам - нерезидентам;11116;39607233;58241671;97848904
Сбербанк;1481;1;2022-01-01;физическим лицам - нерезидентам;11117;34433;3522;37955
Сбербанк;1481;1;2022-01-01;кредитным организациям;11118;13863449;20608;13884057
Сбербанк;1481;1;2022-01-01;банкам-нерезидентам;11119;1610305;2911073;4521378
Сбербанк;1481;1;2022-01-01;иностранным государствам;11120;0;0;0
Сбербанк;1481;1;2022-01-01;в Минфине России;11201;0;0;0
Сбербанк;1481;1;2022-01-01;в финансовых органах субъектов Российской Федерации и органов местного самоуправления;11202;0;0;0
Сбербанк;1481;1;2022-01-01;в государственных внебюджетных фондах Российской Федерации;11203;0;0;0
Сбербанк;1481;1;2022-01-01;во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления;11204;0;0;0
Сбербанк;1481;1;2022-01-01;в финансовых организациях, находящихся в федеральной собственности;11205;0;0;0
Сбербанк;1481;1;2022-01-01;в коммерческих организациях, находящихся в федеральной собственности;11206;3197;0;3197
Сбербанк;1481;1;2022-01-01;в некоммерческих организациях, находящихся в федеральной собственности;11207;0;0;0
Сбербанк;1481;1;2022-01-01;в финансовых организациях, находящихся в государственной (кроме федеральной) собственности;11208;0;0;0
Сбербанк;1481;1;2022-01-01;в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11209;0;0;0
Сбербанк;1481;1;2022-01-01;в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности;11210;0;0;0
Сбербанк;1481;1;2022-01-01;в негосударственных финансовых организациях;11211;796290;1777;798067
Сбербанк;1481;1;2022-01-01;в негосударственных коммерческих организациях;11212;239791;0;239791
Сбербанк;1481;1;2022-01-01;в негосударственных некоммерческих организациях;11213;0;0;0
Сбербанк;1481;1;2022-01-01;в юридических лицах - нерезидентах;11214;567408;922460;1489868
Сбербанк;1481;1;2022-01-01;в кредитных организациях;11215;43958189;1177461;45135650
Сбербанк;1481;1;2022-01-01;в банках-нерезидентах;11216;345659;1143831;1489490
Сбербанк;1481;1;2022-01-01;в Банке России;11217;0;0;0
Сбербанк;1481;1;2022-01-01;индивидуальным предпринимателям;11218;3493;0;3493
Сбербанк;1481;1;2022-01-01;гражданам (физическим лицам);11219;23010;0;23010
Сбербанк;1481;1;2022-01-01;физическим лицам - нерезидентам;11220;0;0;0
Сбербанк;1481;1;2022-01-01;в Банке России;11301;0;0;0
Сбербанк;1481;1;2022-01-01;в кредитных организациях;11302;5002;20596;25598
Сбербанк;1481;1;2022-01-01;в банках-нерезидентах;11303;0;674684;674684
Сбербанк;1481;1;2022-01-01;в Банке России;11401;9850878;0;9850878
Сбербанк;1481;1;2022-01-01;в кредитных организациях;11402;0;0;0
Сбербанк;1481;1;2022-01-01;в банках-нерезидентах;11403;0;39147;39147
Сбербанк;1481;1;2022-01-01;Российской Федерации;11501;1816800;49878;1866678
